lead_id,collected_at,organization_name,organization_domain,organization_url,source_url,source_type,country,ICP_cluster,fit_reason,visible_XR_signal,technology_signal,trigger_signal,trigger_recency_bucket,likely_buyer_department,likely_buyer_titles,organization_type,confidence_score_raw,priority_hint,status,review_notes
OL-0001,2026-06-24,Strivr,strivr.com,https://www.strivr.com/,https://www.axios.com/2021/09/29/virtual-reality-training-walmart-nfl,news_article,US,xr_software_vendor,"Enterprise VR training platform with large deployment evidence","VR training platform / Walmart deployment context",VR training,large enterprise training deployment,older_than_365_days,Customer Success / Implementations / Product,"CEO; VP Customer Success; Head of Implementations",XR software vendor,88,raw_priority_A,raw_collected,"Strong vendor-side deployment/support fit; verify current contacts officially"
OL-0002,2026-06-24,Osso VR,osso.com,https://www.osso.com/,https://www.axios.com/2022/03/24/osso-vr-nets-66m-series-c,news_article,US,xr_software_vendor,"VR surgical training vendor with healthcare training context","VR surgical training platform",VR medical training,funding/growth signal,older_than_365_days,Customer Success / Implementations / Product,"CEO; VP Customer Success; Head of Implementations",XR software vendor,84,raw_priority_A,raw_collected,"High relevance; healthcare context requires careful business relevance and compliance review"
OL-0003,2026-06-24,Virti,virti.com,https://virti.com/,https://en.wikipedia.org/wiki/Virti,public_profile,UK,xr_software_vendor,"AI/VR scenario training platform seed","AI/VR training platform",VR scenario training,platform/company profile,unknown,Customer Success / Product / Implementations,"Founder; CEO; VP Product; Customer Success",XR software vendor,68,raw_priority_B,raw_collected,"Needs official current-source confirmation"
OL-0004,2026-06-24,VirtaMed,virtamed.com,https://www.virtamed.com/,https://en.wikipedia.org/wiki/VirtaMed,public_profile,Switzerland/US,medical_simulation,"Medical simulation vendor seed with possible US operations","VR medical simulator company",medical simulation,company profile,unknown,Simulation / Commercial / Support,"CEO; Co-founder; Director of Simulation Partnerships",Medical simulation vendor,62,raw_priority_C,raw_collected,"Region and current source need review"
OL-0005,2026-06-24,MSR - Israel Center for Medical Simulation,msr.org.il,https://eng.msr.org.il/,https://en.wikipedia.org/wiki/Amitai_Ziv,public_profile,Israel,medical_simulation,"Major medical simulation center seed","Medical simulation center",simulation center,public founder profile,unknown,Simulation Center Leadership,"Founder; Director; Simulation Operations",Medical simulation center,52,hold_needs_more_research,raw_collected,"Outside default US/Canada scope; hold unless international outreach approved"
OL-0006,2026-06-24,Virtual Reality and Education Laboratory,ecu.edu,https://education.ecu.edu/,https://en.wikipedia.org/wiki/Virtual_Reality_and_Education_Laboratory,public_profile,US,higher_education_xr,"Higher education VR lab seed","Virtual reality education laboratory",VR education lab,public profile likely historical,older_than_365_days,Academic Technology / Education,"Co-director; Professor; XR Lab Director",Higher education lab,49,hold_needs_more_research,raw_collected,"Source may be stale; verify current status before contact research"
OL-0007,2026-06-24,King's College London,kcl.ac.uk,https://www.kcl.ac.uk/,https://www.rebootimagine.com/,partner_logo,UK,higher_education_xr,"Displayed as Reboot Imagine partner/client logo","Partner/client logo on Reboot Imagine site",partner/client logo,ecosystem signal,unknown,Simulation / Academic Technology / IT,"Director of Simulation; Academic Technology Director; IT Operations",University,64,raw_priority_C,raw_collected,"Official Reboot logo signal; needs specific XR program/contact discovery"
OL-0008,2026-06-24,Icahn School of Medicine at Mount Sinai,mssm.edu,https://icahn.mssm.edu/,https://www.rebootimagine.com/,partner_logo,US,medical_simulation,"Displayed as Reboot Imagine partner/client logo","Partner/client logo on Reboot Imagine site",partner/client logo,ecosystem signal,unknown,Simulation / Medical Education / IT,"Director of Simulation; Medical Education Director; IT Operations",Medical school,70,raw_priority_B,raw_collected,"Potentially strong but should not be contacted without internal relationship/suppression check"
OL-0009,2026-06-24,Prisms,prismsvr.com,https://www.prismsvr.com/,https://www.rebootimagine.com/,partner_logo,US,xr_software_vendor,"Displayed as Reboot Imagine partner/client logo","Immersive learning vendor logo on Reboot site",VR education platform,ecosystem signal,unknown,Customer Success / Implementations,"Founder; CEO; Customer Success; Implementations",XR software vendor,70,raw_priority_B,raw_collected,"Requires official current contact validation"
OL-0010,2026-06-24,Acadicus,acadicus.com,https://www.acadicus.com/,https://www.rebootimagine.com/,partner_logo,US,medical_simulation,"Displayed as Reboot Imagine partner/client logo","Medical/XR simulation platform logo on Reboot site",medical XR simulation,ecosystem signal,unknown,Customer Success / Simulation Partnerships,"CEO; Founder; Customer Success; Simulation Partnerships",XR/medical simulation vendor,70,raw_priority_B,raw_collected,"Requires official current contact validation"
OL-0011,2026-06-24,The Glimpse Group,theglimpsegroup.com,https://www.theglimpsegroup.com/,https://www.rebootimagine.com/,partner_logo,US,xr_software_vendor,"Displayed as Reboot Imagine partner/client logo","VR/AR company logo on Reboot site",VR/AR company,ecosystem signal,unknown,Partnerships / Customer Success,"CEO; Partnerships; Customer Success",XR company,66,raw_priority_B,raw_collected,"Validate specific managed-services relevance"
OL-0012,2026-06-24,Motive.io,motive.io,https://www.motive.io/,https://www.rebootimagine.com/,partner_logo,Canada,xr_software_vendor,"Displayed as Reboot Imagine partner/client logo","XR training/vendor logo on Reboot site",XR training platform,ecosystem signal,unknown,Customer Success / Implementations,"CEO; VP Customer Success; Implementation Lead",XR software vendor,70,raw_priority_B,raw_collected,"Canada fits default scope; verify contacts officially"
